kappa,R,polarization_last_half
0.0,0.4,0.10032965248632224
0.0,0.6000000000000001,0.10032965248632224
0.0,0.8,0.10032965248632224
0.0,1.0,0.10032965248632224
0.0,1.2000000000000002,0.10032965248632224
0.0,1.4,0.10032965248632224
0.0,1.6,0.10032965248632224
0.0,1.8000000000000003,0.10032965248632224
0.0,2.0,0.10032965248632224
0.5,0.4,0.07020759116381052
0.5,0.6000000000000001,0.10520996289072962
0.5,0.8,0.11411973409108428
0.5,1.0,0.14091011878231466
0.5,1.2000000000000002,0.10962552622548023
0.5,1.4,0.0945554833956117
0.5,1.6,0.10827326899632995
0.5,1.8000000000000003,0.12519478184212054
0.5,2.0,0.11086862647716078
1.0,0.4,0.1392650279257155
1.0,0.6000000000000001,0.1217971237672593
1.0,0.8,0.1100957212410027
1.0,1.0,0.17571270395099708
1.0,1.2000000000000002,0.1637641429055849
1.0,1.4,0.3519321680652224
1.0,1.6,0.20905140910672598
1.0,1.8000000000000003,0.292868309737809
1.0,2.0,0.45943010596068085
1.5,0.4,0.15360357585436268
1.5,0.6000000000000001,0.16214442084923056
1.5,0.8,0.16308712163790234
1.5,1.0,0.21449626638299157
1.5,1.2000000000000002,0.349901175545843
1.5,1.4,0.5742687078866953
1.5,1.6,0.6626081502777451
1.5,1.8000000000000003,0.7077511067842107
1.5,2.0,0.733558498549828
2.0,0.4,0.12622983302078367
2.0,0.6000000000000001,0.263191091421505
2.0,0.8,0.30528734142533215
2.0,1.0,0.511944567427507
2.0,1.2000000000000002,0.6346917795408152
2.0,1.4,0.7552338275276544
2.0,1.6,0.802567946187496
2.0,1.8000000000000003,0.8356622761942909
2.0,2.0,0.8350696065383046
2.5,0.4,0.14747552003843398
2.5,0.6000000000000001,0.2815254081370194
2.5,0.8,0.469186023963812
2.5,1.0,0.43889719123567156
2.5,1.2000000000000002,0.8088119071905309
2.5,1.4,0.8384082476490807
2.5,1.6,0.8496344415488255
2.5,1.8000000000000003,0.8628099641111647
2.5,2.0,0.8757268647397722
3.0,0.4,0.09824306286132148
3.0,0.6000000000000001,0.13077268294592778
3.0,0.8,0.3949411786586232
3.0,1.0,0.47162284266567184
3.0,1.2000000000000002,0.7381834232322149
3.0,1.4,0.8696090540782457
3.0,1.6,0.8671621795992678
3.0,1.8000000000000003,0.8894089196427707
3.0,2.0,0.897752909900502
3.5,0.4,0.12619716887354143
3.5,0.6000000000000001,0.2174979060441108
3.5,0.8,0.39983156310381346
3.5,1.0,0.6455713815019053
3.5,1.2000000000000002,0.8211309264744988
3.5,1.4,0.8722628753663005
3.5,1.6,0.8846009937017353
3.5,1.8000000000000003,0.9050857018699852
3.5,2.0,0.9140315460446645
4.0,0.4,0.12693906873842226
4.0,0.6000000000000001,0.3400999809122578
4.0,0.8,0.3938928022354283
4.0,1.0,0.795982951562296
4.0,1.2000000000000002,0.8103646225027265
4.0,1.4,0.8892384831886618
4.0,1.6,0.899772472189667
4.0,1.8000000000000003,0.9161384515521356
4.0,2.0,0.9246357937696366
